id;Наименование товара;Размеры в наличии;Цена розница, руб.;Цена оптовая, руб.;Оптовая скидка;Картинка товара на сайте Lebuto.ru;Страница товара на сайте Lebuto.ru;Цвет товара;Скидка;Состав;Детальное описание;Верхний раздел каталога;Подраздел каталога
1;62-202 Пальто женское, утеплитель био-пух, d.navy;р.42;990;990;0;https://lebuto.ru/upload/iblock/555/167ad3ec_1750_11e6_894d_000c29cc4602_c2d15df3_a562_11e6_894d_000c29cc4602.jpeg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/palto_1/palto_zimnee/62_202_palto_zhenskoe_uteplitel_bio_pukh_d_navy/;Синий;;верх: 100% полиэстер, подклад: 100% полиэстер наполнитель : 90% пух, 10%перо;;Женская одежда;Пальто зимнее
2;62-277 Пальто женское, утеплитель био-пух, beige;;1500;1200;;https://lebuto.ru/upload/iblock/d38/beptdp9whci1mcooli9eag706pg9fu2z/b994ad31_0074_11ef_8146_000c29cc4602_0e5a3b75_b845_11ef_816a_000c29cc4602.jpg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/palto_1/palto_zimnee/62_277_palto_zhenskoe_uteplitel_bio_pukh_beige/;;;;;Женская одежда;Пальто зимнее
3;R-3601 Джинсы женские /25-30;25;;;;https://lebuto.ru/upload/iblock/076/famz7nagwv1lsnjkuqv2adqexyqh168q/e211e7a9_a721_11e6_894d_000c29cc4602_3999b87b_b6b6_11ef_8169_000c29cc4602.jpg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_i_dzhinsy/r_3601_dzhinsy_zhenskie_25_30/;Синий;;100% хлопок;Утепленный Джинсы на флисе. Размер 42/44.;Женская одежда;Брюки и джинсы
4;Балаклава MM 231278 черный;one size;1000;800;20;https://lebuto.ru/upload/iblock/14f/4a45e335_44e4_11eb_80eb_000c29cc4602_a9404c8f_6134_11eb_80eb_000c29cc4602.jpeg;https://lebuto.ru/catalog/aksessuary_1/shapki_kepki_bandany/balaklava_max_mara_231278_chernyy/;Черный;;70% шерсть 30% акрил;;Аксессуары;Шапки, кепки, банданы
5;Бандана 8341 флис цветные;one size;200;160;16.67;https://lebuto.ru/upload/iblock/df4/f72132ad_afc7_11e7_8967_000c29cc4602_ac907100_1fd0_11ea_80e0_000c29cc4602.jpeg;https://lebuto.ru/catalog/aksessuary_1/shapki_kepki_bandany/bandany/bandana_8341_flis_tsvetnye/;цветная;;Полиэстер;;Аксессуары;Банданы
6;Бандана-шарф Б/Н 03677-01;one size;;;;https://lebuto.ru/upload/iblock/974/dlrk3ce7yoqyqvxxjfyti0s9lio9uzj8/8ecca668_874e_11ed_812d_000c29cc4602_2d57037b_b3a7_11ef_8168_000c29cc4602.jpg;https://lebuto.ru/catalog/aksessuary_1/shapki_kepki_bandany/bandany/bandana_sharf_b_n_03677_01/;хаки;;100% полиэстер;Бандана выполнена из комбинированых материалов: флис+текстиль 100% полиэстер.;Аксессуары;Банданы
7;Бандана-шарф Б/Н 03677-02;one size;;;;https://lebuto.ru/upload/iblock/10e/c41f8c08j2yi309c1jnwqw1uclso795d/b240ca19_874e_11ed_812d_000c29cc4602_0e08394c_b3a4_11ef_8168_000c29cc4602.jpg;https://lebuto.ru/catalog/aksessuary_1/shapki_kepki_bandany/bandany/bandana_sharf_b_n_03677_02/;хаки;;100% полиэстер;Бандана выполнена из комбинированых материалов: флис+текстиль 100% полиэстер.;Аксессуары;Банданы
8;Бандана-шарф Б/Н 03677-03;one size;;;;https://lebuto.ru/upload/iblock/fbe/wy211i5a6ss3whcshyxr5rzod2eo58fp/d82326ec_874e_11ed_812d_000c29cc4602_ec6ce298_b3a1_11ef_8168_000c29cc4602.jpg;https://lebuto.ru/catalog/aksessuary_1/shapki_kepki_bandany/bandany/bandana_sharf_b_n_03677_03/;голубой;;100% полиэстер;Бандана выполнена из комбинированых материалов: флис+текстиль 100% полиэстер.;Аксессуары;Банданы
9;Бандана-шарф Б/Н 03677-04;one size;;;;https://lebuto.ru/upload/iblock/3bc/t8d0vj2eonglhe2i47yot05sxti4utur/0776e2e3_874f_11ed_812d_000c29cc4602_aae6240c_b3a6_11ef_8168_000c29cc4602.jpg;https://lebuto.ru/catalog/aksessuary_1/shapki_kepki_bandany/bandany/bandana_sharf_b_n_03677_04/;цветная;;100% полиэстер;Бандана выполнена из комбинированых материалов: флис+текстиль 100% полиэстер.;Аксессуары;Банданы
10;Бандана-шарф Б/Н 03677-05;one size;;;;https://lebuto.ru/upload/iblock/fee/h0eza1a4r04uocj1nb6utcoyxti6ltr4/2c4faf4b_874f_11ed_812d_000c29cc4602_a9f4e9c4_b9d5_11ef_816a_000c29cc4602.jpg;https://lebuto.ru/catalog/aksessuary_1/shapki_kepki_bandany/bandany/bandana_sharf_b_n_03677_05/;розовый;;;;Аксессуары;Банданы
